! time                    mass_defect             defect_inventory        sink_inventory          leak_inventory          edge_inventory          
  6.000000000000000E+002 -2.220446049250313E-014  2.104864021826788E+000  6.599011351420865E-002  0.000000000000000E+000 -2.170854135341018E+000
  6.500000000000000E+002 -2.620126338115369E-014  2.367136274389802E+000  5.832840462246757E-002  0.000000000000000E+000 -2.425464679012296E+000
  7.000000000000000E+002 -3.064215547965432E-014  2.627528186819571E+000  5.059996973952101E-002  0.000000000000000E+000 -2.678128156559123E+000
  7.500000000000000E+002 -2.575717417130363E-014  2.886056970255658E+000  4.281851949280623E-002  0.000000000000000E+000 -2.928875489748489E+000
  8.000000000000000E+002 -3.197442310920451E-014  3.142748674378264E+000  3.499506157265524E-002  0.000000000000000E+000 -3.177743735950951E+000
  8.500000000000000E+002 -3.330669073875470E-014  3.397632423831469E+000  2.713884734800248E-002  0.000000000000000E+000 -3.424771271179505E+000
  9.000000000000000E+002 -3.952393967665557E-014  3.650739241813657E+000  1.925771503267365E-002  0.000000000000000E+000 -3.669996956846370E+000
  9.500000000000000E+002 -3.463895836830488E-014  3.902101405575264E+000  1.135833057909847E-002  0.000000000000000E+000 -3.913459736154397E+000
  1.000000000000000E+003 -4.263256414560601E-014  4.151751947457146E+000  3.446381689718814E-003  0.000000000000000E+000 -4.155198329146908E+000
  1.050000000000000E+003 -4.263256414560601E-014  4.399724259503294E+000 -4.473263595165979E-003  0.000000000000000E+000 -4.395250995908171E+000
  1.100000000000000E+003 -5.506706202140776E-014  4.646051784743330E+000 -1.239642692045462E-002  0.000000000000000E+000 -4.633655357822930E+000
  1.150000000000000E+003 -5.240252676230739E-014  4.890767779525485E+000 -2.031951275063608E-002  0.000000000000000E+000 -4.870448266774901E+000
  1.200000000000000E+003 -5.684341886080801E-014  5.133905132883722E+000 -2.823942014866527E-002  0.000000000000000E+000 -5.105665712735114E+000
